BinId,Type,Group,Pieces,LettersStart,LettersEnd,CombinedStart,CombinedEnd
1,aadc,945,85,1,85,1,86
2,aadc,950,114,86,199,87,201
3,5digit,95608,150,200,349,202,352
4,3digit,956,150,350,499,353,503
5,5digit,95624,150,604,753,504,654
6,5digit,95624,150,754,903,655,805
7,3digit,956,150,500,949,806,956
8,5digit,95628,150,980,1129,957,1107
9,5digit,95630,150,1198,1347,1108,1258
10,3digit,956,150,950,1399,1259,1409
11,3digit,956,150,1400,1549,1410,1560
12,5digit,95662,150,1608,1757,1561,1711
13,5digit,95670,150,1758,1907,1712,1862
14,3digit,956,150,1550,1999,1863,2013
15,3digit,956,150,2000,2149,2014,2164
16,aadc,956,147,2150,2296,2165,2312
17,3digit,957,150,2297,2446,2313,2463
18,3digit,957,150,2447,2596,2464,2614
19,5digit,95757,150,2617,2766,2615,2765
20,5digit,95758,150,2885,3034,2766,2916
21,5digit,95762,150,3035,3184,2917,3067
22,aadc,957,138,2597,3184,3068,3206
23,3digit,958,150,3185,3334,3207,3357
24,3digit,958,150,3335,3484,3358,3508
25,3digit,958,150,3485,3634,3509,3659
26,3digit,958,150,3635,3784,3660,3810
27,3digit,958,150,3785,3934,3811,3961
28,3digit,958,150,3935,4084,3962,4112
29,3digit,958,150,4085,4234,4113,4263
30,5digit,95829,150,4250,4399,4264,4414
31,5digit,95831,150,4400,4549,4415,4565
32,3digit,958,150,4235,4684,4566,4716
33,3digit,958,150,4685,4834,4717,4867
34,5digit,95864,150,4851,5000,4868,5018
35,aadc,958,16,4835,5000,5019,5035
